,name,Lon,Lat,Max Temp,Wind Speed,Humidity,Cloud Cover,Country
0,Ushuaia,-68.3,-54.8,46.4,4.7,75.0,20.0,AR
0,Punta Arenas,-70.92,-53.15,41.0,6.93,86.0,100.0,CL
0,Bluff,168.33,-46.6,57.29,7.85,73.0,0.0,NZ
0,Kaitangata,169.85,-46.28,60.01,4.0,60.0,0.0,NZ
0,Mataura,168.86,-46.19,59.83,3.47,62.0,0.0,NZ
0,Tuatapere,167.68,-46.13,62.31,6.15,66.0,0.0,NZ
0,Dunedin,170.5,-45.87,61.0,14.0,57.0,9.0,NZ
0,Comodoro Rivadavia,-67.5,-45.87,55.4,6.38,93.0,100.0,AR
0,Coyhaique,-72.07,-45.58,46.4,2.82,100.0,90.0,CL
0,Wanaka,169.15,-44.7,57.36,5.46,65.0,15.0,NZ
0,Hobart,147.33,-42.88,54.0,5.82,81.0,75.0,AU
0,New Norfolk,147.06,-42.78,54.0,2.84,86.0,100.0,AU
0,Ancud,-73.82,-41.87,55.99,8.05,100.0,90.0,CL
0,Port Montt,-72.94,-41.47,55.4,11.41,93.0,90.0,CL
0,Waipawa,175.52,-41.41,62.6,5.82,67.0,38.0,NZ
0,Viedma,-63.0,-40.81,64.18,14.9,51.0,100.0,AR
0,Necochea,-58.74,-38.55,53.01,8.01,87.0,100.0,AR
0,Codrington,141.97,-38.27,53.51,17.36,68.0,100.0,AU
0,Mar del Plata,-57.56,-38.0,57.2,14.99,71.0,57.0,AR
0,Lebu,-73.65,-37.62,57.54,5.91,94.0,100.0,CL
0,Warkworth,174.67,-36.4,64.99,3.0,71.0,0.0,NZ
0,Ulladulla,150.47,-35.35,75.0,12.75,33.0,39.0,AU
0,Constitución,-72.42,-35.33,55.74,5.82,91.0,100.0,CL
0,Ahipara,173.17,-35.17,65.41,8.25,63.0,0.0,NZ
0,Kaeo,173.78,-35.1,66.99,11.01,67.0,0.0,NZ
0,Port Lincoln,135.87,-34.73,55.6,18.19,61.0,97.0,AU
0,Kiama,150.87,-34.68,75.99,5.99,37.0,0.0,AU
0,Bredasdorp,20.04,-34.53,60.8,2.24,87.0,87.0,ZA
0,Hermanus,19.23,-34.42,60.01,9.4,78.0,100.0,ZA
0,Kruisfontein,24.73,-34.0,55.51,2.73,95.0,0.0,ZA
0,Cape Town,18.42,-33.93,59.0,6.93,87.0,93.0,ZA
0,Port Elizabeth,25.57,-33.92,60.8,3.36,93.0,75.0,ZA
0,Esperance,121.9,-33.87,50.0,5.82,93.0,75.0,AU
0,Buin,-70.75,-33.73,60.8,9.17,63.0,7.0,CL
0,Chui,-53.46,-33.7,51.26,4.61,76.0,0.0,UY
0,Busselton,115.33,-33.65,48.99,1.99,89.0,0.0,AU
0,Port Alfred,26.89,-33.59,62.01,6.62,97.0,3.0,ZA
0,East London,27.91,-33.02,69.35,3.49,72.0,91.0,ZA
0,Saldanha,17.94,-33.01,57.2,4.7,76.0,0.0,ZA
0,Nelson Bay,152.15,-32.72,71.6,6.93,53.0,75.0,AU
0,Young,-57.63,-32.68,53.01,7.11,83.0,0.0,UY
0,Mandurah,115.7,-32.55,55.99,8.9,75.0,0.0,AU
0,Port Augusta,137.77,-32.5,59.0,16.11,47.0,0.0,AU
0,Dubbo,148.62,-32.25,69.8,12.75,56.0,97.0,AU
0,Rio Grande,-52.1,-32.03,53.01,6.71,90.0,0.0,BR
0,Port Macquarie,152.92,-31.43,69.01,1.01,77.0,100.0,AU
0,Rafaela,-61.49,-31.25,55.99,3.0,51.0,99.0,AR
0,Aliwal North,26.71,-30.69,49.82,2.24,48.0,0.0,ZA
0,Cidreira,-50.21,-30.18,60.26,7.23,79.0,0.0,BR
0,Coquimbo,-71.34,-29.95,59.0,4.7,77.0,90.0,CL
0,Santa Maria,-53.81,-29.68,52.38,3.4,79.0,9.0,BR
0,Ballina,153.57,-28.87,73.4,5.82,60.0,75.0,AU
0,Soledade,-52.51,-28.82,47.19,2.44,75.0,0.0,BR
0,Richards Bay,32.04,-28.78,64.06,4.68,85.0,0.0,ZA
0,Geraldton,114.6,-28.77,59.0,12.75,54.0,77.0,AU
0,Warmbad,18.73,-28.45,67.37,11.12,23.0,0.0,NA
0,Gold Coast,153.43,-28.0,75.99,11.41,53.0,40.0,AU
0,Lüderitz,15.16,-26.65,51.8,1.12,100.0,0.0,NA
0,Keetmanshoop,18.13,-26.58,68.0,9.17,18.0,0.0,NA
0,Taltal,-70.48,-25.4,59.95,5.21,76.0,22.0,CL
0,Yulara,130.99,-25.24,60.8,17.22,38.0,0.0,AU
0,Carnarvon,113.63,-24.87,68.77,22.01,42.0,100.0,AU
0,Castro,-50.01,-24.79,47.84,3.47,92.0,0.0,BR
0,Inhambane,35.38,-23.86,69.55,8.12,83.0,40.0,MZ
0,Ilhabela,-45.36,-23.78,66.45,5.19,71.0,27.0,BR
0,Alice Springs,133.88,-23.7,66.2,13.87,20.0,0.0,AU
0,Antofagasta,-70.4,-23.65,60.8,9.17,82.0,90.0,CL
0,Emerald,148.17,-23.53,77.0,11.41,64.0,0.0,AU
0,Pozo Colorado,-58.8,-23.49,54.28,3.2,42.0,0.0,PY
0,Vangaindrano,47.6,-23.35,67.87,5.21,91.0,69.0,MG
0,Santa Isabel,-46.22,-23.32,59.0,10.29,82.0,75.0,BR
0,Rikitea,-134.97,-23.12,76.06,5.88,69.0,90.0,PF
0,Arraial do Cabo,-42.03,-22.97,71.4,6.64,57.0,46.0,BR
0,Walvis Bay,14.51,-22.96,70.41,5.5,44.0,0.0,NA
0,Vao,167.48,-22.67,72.79,20.8,75.0,1.0,NC
0,Moerai,-151.33,-22.43,78.1,9.55,71.0,2.0,PF
0,Noumea,166.46,-22.28,75.0,12.75,83.0,90.0,NC
0,Henties Bay,14.28,-22.12,68.38,7.43,52.0,0.0,NA
0,Machado,-45.92,-21.67,54.59,2.28,82.0,5.0,BR
0,São João da Barra,-41.05,-21.64,67.21,5.7,76.0,0.0,BR
0,Tadine,167.88,-21.55,75.42,18.61,71.0,12.0,NC
0,Saint-Joseph,55.62,-21.37,71.6,10.29,53.0,20.0,RE
0,Saint-Philippe,55.77,-21.36,71.6,10.29,53.0,20.0,RE
0,Poya,165.15,-21.35,77.7,9.93,66.0,52.0,NC
0,Saint-Pierre,55.48,-21.34,71.6,10.29,53.0,20.0,RE
0,Avarua,-159.78,-21.21,82.4,16.11,74.0,19.0,CK
0,Vaini,-175.2,-21.2,82.4,16.11,83.0,75.0,TO
0,Mackay,149.2,-21.15,79.0,11.41,78.0,0.0,AU
0,Buritama,-50.15,-21.07,58.68,5.93,78.0,0.0,BR
0,Saint-Paul,55.27,-21.01,71.6,6.93,88.0,20.0,RE
0,Karratha,116.85,-20.74,80.51,22.95,27.0,71.0,AU
0,Mount Isa,139.5,-20.73,86.0,5.82,22.0,0.0,AU
0,Guarapari,-40.5,-20.67,70.0,6.93,77.0,20.0,BR
0,Souillac,57.52,-20.52,71.6,3.36,94.0,40.0,MU
0,Mahébourg,57.7,-20.41,71.6,3.36,94.0,40.0,MU
0,Khorixas,14.97,-20.37,67.55,11.72,29.0,0.0,NA
0,Bambous Virieux,57.76,-20.34,71.6,3.36,94.0,40.0,MU
0,Vila Velha,-40.29,-20.33,70.0,6.93,77.0,20.0,BR
0,Quatre Cocos,57.76,-20.21,71.6,3.36,94.0,40.0,MU
0,Gweta,25.23,-20.18,61.48,9.55,56.0,0.0,BW
0,Inhapim,-42.12,-19.55,59.41,2.64,89.0,32.0,BR
0,Isangel,169.27,-19.55,80.6,11.41,74.0,40.0,VU
0,Miandrivazo,45.47,-19.52,71.1,0.6,72.0,15.0,MG
0,Alofi,-169.92,-19.06,84.2,12.75,74.0,75.0,NU
0,Ladário,-57.6,-19.0,59.9,2.46,54.0,0.0,BR
0,Puerto Suárez,-57.8,-18.95,57.99,1.54,58.0,0.0,BO
0,Opuwo,13.84,-18.06,60.55,7.45,46.0,0.0,NA
0,Tautira,-149.15,-17.73,89.6,6.93,62.0,100.0,PF
0,Várzea da Palma,-44.73,-17.6,64.31,2.64,90.0,59.0,BR
0,Tiarei,-149.33,-17.53,89.6,6.93,62.0,100.0,PF
0,Cairns,145.77,-16.92,80.6,10.29,65.0,55.0,AU
0,Fare,-151.02,-16.7,82.94,12.15,76.0,10.0,PF
0,Faanui,-151.75,-16.48,81.93,13.13,79.0,14.0,PF
0,Monze,27.48,-16.28,57.63,4.94,74.0,0.0,ZM
0,Almenara,-40.69,-16.18,67.3,1.99,88.0,100.0,BR
0,Mossamedes,12.15,-15.2,78.71,2.68,55.0,0.0,AO
0,Antalaha,50.28,-14.9,72.75,6.91,83.0,3.0,MG
0,Diamantino,-56.45,-14.41,65.44,2.82,83.0,100.0,BR
0,Sambava,50.17,-14.27,74.46,9.93,85.0,4.0,MG
0,Caluquembe,14.68,-13.78,53.67,2.24,73.0,0.0,AO
0,Pisco,-76.22,-13.7,68.0,16.11,82.0,51.0,PE
0,Lichinga,35.24,-13.31,53.13,6.11,100.0,23.0,MZ
0,Benguela,13.41,-12.58,77.04,3.53,67.0,0.0,AO
0,Palmerston,130.98,-12.49,84.99,13.87,54.0,0.0,AU
0,Solwezi,26.39,-12.17,54.82,4.32,89.0,1.0,ZM
0,Camacupa,17.48,-12.02,56.03,4.81,71.0,0.0,AO
0,Kirakira,161.92,-10.45,86.41,8.66,68.0,16.0,SB
0,Atuona,-139.03,-9.8,81.63,15.03,74.0,100.0,PF
0,Maceió,-35.74,-9.67,78.8,3.36,83.0,40.0,BR
0,Port Moresby,147.18,-9.44,89.6,5.82,66.0,40.0,PG
0,Honiara,159.95,-9.43,87.8,6.93,66.0,75.0,SB
0,Daru,143.21,-9.08,83.03,14.25,74.0,14.0,PG
0,Airai,125.41,-8.93,68.76,3.85,81.0,19.0,TL
0,Auki,160.7,-8.77,86.49,2.68,68.0,14.0,SB
0,Denpasar,115.22,-8.65,82.4,4.7,94.0,20.0,ID
0,Campoverde,-74.81,-8.48,75.2,3.36,69.0,75.0,PE
0,Olinda,-34.86,-8.01,80.6,4.7,74.0,40.0,BR
0,Bambanglipuro,110.28,-7.95,81.39,2.15,82.0,100.0,ID
0,Chicama,-79.15,-7.84,72.01,5.99,73.0,14.0,PE
0,Gondanglegi,112.01,-7.75,83.35,2.15,77.0,100.0,ID
0,Kawalu,108.21,-7.38,78.8,0.63,82.0,100.0,ID
0,Santa Rita,-34.98,-7.11,77.0,6.93,88.0,100.0,BR
0,Kasongo-Lunda,16.82,-6.47,71.74,0.89,78.0,36.0,CD
0,Mbuji-Mayi,23.6,-6.15,70.93,3.22,92.0,71.0,CD
0,Manicoré,-61.3,-5.81,77.0,2.24,94.0,100.0,BR
0,Tual,132.75,-5.67,82.96,21.03,78.0,5.0,ID
0,Katobu,122.53,-4.94,83.59,7.76,68.0,82.0,ID
0,Loandjili,11.86,-4.76,78.91,1.5,91.0,78.0,CG
0,Talara,-81.27,-4.58,72.09,16.04,85.0,34.0,PE
0,Makanya,37.83,-4.37,67.01,4.85,90.0,95.0,TZ
0,El Alto,-81.21,-4.27,71.37,17.52,84.0,18.0,PE
0,Kendari,122.5,-3.94,82.51,2.37,80.0,57.0,ID
0,Bengkulu,102.27,-3.8,80.47,2.28,77.0,66.0,ID
0,Ambon City,128.18,-3.7,84.2,3.36,74.0,40.0,ID
0,Namatanai,152.43,-3.67,86.74,6.06,65.0,0.0,PG
0,Mayumba,10.66,-3.43,79.07,1.9,90.0,100.0,GA
0,Amahai,128.92,-3.33,83.75,7.67,72.0,52.0,ID
0,Banjarmasin,114.59,-3.32,82.4,5.82,94.0,20.0,ID
0,Altamira,-52.21,-3.2,74.12,1.68,97.0,100.0,BR
0,Vanimo,141.3,-2.67,86.61,1.57,68.0,5.0,PG
0,Kavieng,150.8,-2.57,85.8,7.96,69.0,0.0,PG
0,Djambala,14.75,-2.54,68.67,2.57,90.0,100.0,CG
0,Lorengau,147.27,-2.02,85.21,4.7,73.0,87.0,PG
0,Oeiras do Pará,-49.85,-2.0,76.23,2.71,96.0,100.0,BR
0,Portel,-50.82,-1.94,76.14,2.57,96.0,100.0,BR
0,Maraã,-65.37,-1.83,73.2,0.38,99.0,100.0,BR
0,Omboué,9.26,-1.57,79.05,2.26,89.0,100.0,GA
0,Padang,100.35,-0.95,83.19,2.8,68.0,86.0,ID
0,Palu,119.87,-0.89,84.43,1.34,68.0,99.0,ID
0,Sorong,131.25,-0.88,85.08,8.16,73.0,0.0,ID
0,Manokwari,134.08,-0.87,84.87,7.99,74.0,36.0,ID
0,Puerto Ayora,-90.35,-0.74,77.0,1.99,94.0,77.0,EC
0,Salinópolis,-47.36,-0.61,79.57,7.52,88.0,100.0,BR
0,Hithadhoo,73.08,-0.6,85.01,15.75,78.0,100.0,MV
0,Bontang,117.5,0.13,82.54,4.16,82.0,79.0,ID
0,Libreville,9.45,0.39,77.0,2.24,94.0,20.0,GA
0,Kisangani,25.2,0.52,70.93,3.04,98.0,88.0,CD
0,Bitung,125.18,1.45,87.8,2.24,62.0,20.0,ID
0,Mbini,9.61,1.57,80.35,2.19,80.0,94.0,GQ
0,Wajir,40.06,1.75,75.7,9.55,84.0,100.0,KE
0,Mogadishu,45.34,2.04,81.12,16.22,78.0,16.0,SO
0,Gulu,32.3,2.77,64.54,5.97,98.0,100.0,UG
0,Buta,24.73,2.79,71.4,1.21,97.0,100.0,CD
0,Mapiripán,-72.13,2.89,72.3,2.37,97.0,100.0,CO
0,Butaritari,172.79,3.07,83.23,7.99,73.0,100.0,KI
0,Bondo,23.69,3.81,68.54,1.79,94.0,91.0,CD
0,Toro,-76.08,4.61,71.35,3.38,87.0,100.0,CO
0,Gambo,22.26,4.65,70.16,3.58,92.0,84.0,CF
0,Esim,-2.24,4.87,80.94,6.85,86.0,100.0,GH
0,Cayenne,-52.33,4.93,80.6,8.05,78.0,90.0,GF
0,Labuan,115.24,5.28,82.4,4.7,94.0,75.0,MY
0,George Town,100.34,5.41,82.4,2.24,94.0,20.0,MY
0,Naifaru,73.37,5.44,84.67,8.12,76.0,100.0,MV
0,Mana,-53.78,5.66,77.85,10.18,83.0,100.0,GF
0,Ugoofaaru,73.0,5.67,84.7,8.75,75.0,65.0,MV
0,Hambantota,81.12,6.12,77.0,2.24,100.0,20.0,LK
0,Yala,101.25,6.33,77.0,1.45,94.0,20.0,TH
0,Pundaguitan,126.17,6.37,83.3,5.84,79.0,100.0,PH
0,Lagos,3.75,6.58,84.2,2.24,89.0,40.0,NG
0,Nong Chik,101.18,6.84,81.41,2.84,85.0,100.0,TH
0,Dhidhdhoo,73.1,6.88,84.36,4.18,74.0,17.0,MV
0,Batangafo,18.28,7.3,73.85,4.5,74.0,39.0,CF
0,San Cristobal,-72.22,7.77,67.73,5.39,88.0,91.0,VE
0,Eyl,49.82,7.98,82.51,4.59,72.0,0.0,SO
0,Marawi,124.29,8.0,84.0,7.0,81.0,100.0,PH
0,Sardinata,-72.8,8.08,77.67,4.14,63.0,82.0,CO
0,Gambēla,34.58,8.25,76.91,4.0,78.0,100.0,ET
0,Wamba,8.6,8.93,77.54,0.58,79.0,0.0,NG
0,Maloh,122.99,9.06,87.8,6.93,74.0,20.0,PH
0,Bac Lieu,105.72,9.29,87.39,7.23,64.0,100.0,VN
0,Kilinochchi,80.4,9.4,79.9,3.67,84.0,0.0,LK
0,Oodweyne,45.06,9.41,73.44,2.75,77.0,0.0,SO
0,Yuli,10.27,9.7,84.79,6.62,54.0,4.0,NG
0,Madurai,78.12,9.93,78.8,3.13,88.0,20.0,IN
0,Barquisimeto,-69.32,10.07,78.26,6.35,55.0,86.0,VE
0,Caramay,119.24,10.18,86.72,4.25,64.0,100.0,PH
0,Bembèrèkè,2.66,10.23,78.13,5.79,77.0,12.0,BJ
0,Matalom,124.79,10.28,85.89,0.74,65.0,100.0,PH
0,San Felipe,-68.74,10.34,72.72,3.87,87.0,100.0,VE
0,Bara,10.73,10.37,87.28,10.22,44.0,73.0,NG
0,Kavaratti,72.64,10.57,85.37,6.98,73.0,91.0,IN
0,Kapitan Ramon,123.13,10.77,83.95,8.79,72.0,96.0,PH
0,Dingle,122.67,11.0,88.12,9.33,58.0,98.0,PH
0,La Asuncion,-63.86,11.03,80.6,25.28,88.0,68.0,VE
0,Bubaque,-15.83,11.28,78.62,12.35,76.0,100.0,GW
0,Qandala,49.87,11.47,86.18,3.56,59.0,0.0,SO
0,Port Blair,92.75,11.67,84.74,5.32,75.0,100.0,IN
0,Damaturu,11.96,11.75,87.24,5.39,37.0,56.0,NG
0,Canchungo,-16.03,12.07,75.2,4.7,83.0,100.0,GW
0,Kousséri,15.03,12.08,87.8,3.36,40.0,1.0,CM
0,San Policarpo,125.51,12.18,84.24,5.95,65.0,19.0,PH
0,Boulsa,-0.58,12.67,91.76,7.7,33.0,0.0,BF
0,Aden,45.04,12.78,86.13,8.52,71.0,73.0,YE
0,Bathsheba,-59.52,13.22,80.6,16.11,74.0,20.0,BB
0,Puerto El Triunfo,-88.55,13.28,86.0,4.7,74.0,20.0,SV
0,Nioro,-15.75,13.35,76.82,5.7,43.0,39.0,GM
0,Acajutla,-89.83,13.59,84.2,6.33,58.0,75.0,SV
0,Mayahi,7.67,13.96,92.73,11.03,19.0,28.0,NE
0,Madaoua,5.96,14.07,87.15,4.92,13.0,0.0,NE
0,Biltine,20.92,14.53,80.46,8.93,15.0,0.0,TD
0,São Filipe,-24.5,14.9,73.45,10.47,76.0,1.0,CV
0,Praia,-23.51,14.92,73.4,20.8,73.0,75.0,CV
0,Iralaya,-83.23,15.0,84.2,9.91,74.0,75.0,HN
0,Pochutla,-96.47,15.74,86.0,4.65,70.0,0.0,MX
0,Puerto Escondido,-97.07,15.85,86.0,9.17,79.0,40.0,MX
0,Paredon,-93.87,16.03,85.68,5.35,65.0,20.0,MX
0,Acapulco de Juárez,-99.89,16.86,84.2,10.29,70.0,20.0,MX
0,Salalah,54.09,17.02,82.4,4.7,88.0,20.0,OM
0,Guhāgar,73.19,17.48,76.53,3.98,90.0,29.0,IN
0,Yārāda,83.27,17.65,82.4,6.93,88.0,75.0,IN
0,Guánica,-66.91,17.97,82.99,3.0,73.0,100.0,PR
0,La Orilla,-102.23,17.98,82.13,8.52,64.0,0.0,MX
0,Chittarkonda,82.08,18.12,81.88,1.92,55.0,0.0,IN
0,Abhā,42.51,18.22,66.2,2.19,82.0,79.0,SA
0,Pajapan,-94.7,18.25,84.2,9.17,74.0,40.0,MX
0,Jérémie,-74.12,18.65,80.01,2.3,79.0,100.0,HT
0,Bilma,12.92,18.69,82.63,8.34,11.0,0.0,NE
0,Arlit,7.39,18.74,82.09,6.46,12.0,91.0,NE
0,Araouane,-3.53,18.9,86.95,6.02,11.0,0.0,ML
0,San Patricio,-104.7,19.22,84.2,11.41,74.0,5.0,MX
0,Nagua,-69.85,19.38,78.55,8.28,78.0,2.0,DO
0,Loikaw,97.21,19.67,80.98,0.98,52.0,0.0,MM
0,Hilo,-155.09,19.73,84.2,12.75,51.0,20.0,US
0,Tomatlán,-105.25,19.93,84.69,6.8,49.0,0.0,MX
0,Qiongshan,110.35,20.01,84.2,8.95,79.0,25.0,CN
0,Phulbāni,84.23,20.47,84.27,0.89,37.0,0.0,IN
0,Adrar,-10.07,20.5,88.18,11.65,17.0,0.0,MR
0,Kahului,-156.47,20.89,80.6,18.34,61.0,40.0,US
0,Panabá,-88.27,21.28,83.77,6.76,61.0,85.0,MX
0,‘Ewa Beach,-158.01,21.32,84.2,9.17,45.0,1.0,US
0,Talāja,72.05,21.35,79.99,5.39,63.0,0.0,IN
0,Makakilo City,-158.09,21.35,84.2,9.17,45.0,1.0,US
0,Kapaa,-159.32,22.08,80.6,19.46,61.0,20.0,US
